group,year,total,level,attainment,count
"35 to 54 Years, Both Sexes",2018,82196,College: 1 to 3 years,Some College,21340
"35 to 54 Years, Both Sexes",2018,82196,College: 4 years or more,College Degree,31223
"35 to 54 Years, Both Sexes",2017,82072,Elementary: 0 to 4 years,Less than High School,709
"35 to 54 Years, Both Sexes",2017,82072,Elementary: 5 to 8 years,Less than High School,2403
"35 to 54 Years, Both Sexes",2017,82072,High School: 1 to 3 years,Less than High School,5059
"35 to 54 Years, Both Sexes",2017,82072,High School: 4 years,High School,22103
"35 to 54 Years, Both Sexes",2017,82072,College: 1 to 3 years,Some College,21621
"35 to 54 Years, Both Sexes",2017,82072,College: 4 years or more,College Degree,30176
"35 to 54 Years, Both Sexes",2016,82571,Elementary: 0 to 4 years,Less than High School,799
"35 to 54 Years, Both Sexes",2016,82571,Elementary: 5 to 8 years,Less than High School,2636
"35 to 54 Years, Both Sexes",2016,82571,High School: 1 to 3 years,Less than High School,5296
"35 to 54 Years, Both Sexes",2016,82571,High School: 4 years,High School,22298
"35 to 54 Years, Both Sexes",2016,82571,College: 1 to 3 years,Some College,22070
"35 to 54 Years, Both Sexes",2016,82571,College: 4 years or more,College Degree,29473
"35 to 54 Years, Both Sexes",2015,82715,Elementary: 0 to 4 years,Less than High School,862
"35 to 54 Years, Both Sexes",2015,82715,Elementary: 5 to 8 years,Less than High School,2742
"35 to 54 Years, Both Sexes",2015,82715,High School: 1 to 3 years,Less than High School,5471
"35 to 54 Years, Both Sexes",2015,82715,High School: 4 years,High School,23153
"35 to 54 Years, Both Sexes",2015,82715,College: 1 to 3 years,Some College,21826
"35 to 54 Years, Both Sexes",2015,82715,College: 4 years or more,College Degree,28660
"35 to 54 Years, Both Sexes",2014,82687,Elementary: 0 to 4 years,Less than High School,875
"35 to 54 Years, Both Sexes",2014,82687,Elementary: 5 to 8 years,Less than High School,2612
"35 to 54 Years, Both Sexes",2014,82687,High School: 1 to 3 years,Less than High School,5433
"35 to 54 Years, Both Sexes",2014,82687,High School: 4 years,High School,23238
"35 to 54 Years, Both Sexes",2014,82687,College: 1 to 3 years,Some College,22472
"35 to 54 Years, Both Sexes",2014,82687,College: 4 years or more,College Degree,28057
"35 to 54 Years, Both Sexes",2013,83324,Elementary: 0 to 4 years,Less than High School,778
"35 to 54 Years, Both Sexes",2013,83324,Elementary: 5 to 8 years,Less than High School,2611
"35 to 54 Years, Both Sexes",2013,83324,High School: 1 to 3 years,Less than High School,5437
"35 to 54 Years, Both Sexes",2013,83324,High School: 4 years,High School,23708
"35 to 54 Years, Both Sexes",2013,83324,College: 1 to 3 years,Some College,22831
"35 to 54 Years, Both Sexes",2013,83324,College: 4 years or more,College Degree,27959
"35 to 54 Years, Both Sexes",2012,83883,Elementary: 0 to 4 years,Less than High School,863
"35 to 54 Years, Both Sexes",2012,83883,Elementary: 5 to 8 years,Less than High School,2762
"35 to 54 Years, Both Sexes",2012,83883,High School: 1 to 3 years,Less than High School,5569
"35 to 54 Years, Both Sexes",2012,83883,High School: 4 years,High School,24608
"35 to 54 Years, Both Sexes",2012,83883,College: 1 to 3 years,Some College,22792
"35 to 54 Years, Both Sexes",2012,83883,College: 4 years or more,College Degree,27288
"35 to 54 Years, Both Sexes",2011,83796,Elementary: 0 to 4 years,Less than High School,899
"35 to 54 Years, Both Sexes",2011,83796,Elementary: 5 to 8 years,Less than High School,2474
"35 to 54 Years, Both Sexes",2011,83796,High School: 1 to 3 years,Less than High School,5682
"35 to 54 Years, Both Sexes",2011,83796,High School: 4 years,High School,25039
"35 to 54 Years, Both Sexes",2011,83796,College: 1 to 3 years,Some College,22796
"35 to 54 Years, Both Sexes",2011,83796,College: 4 years or more,College Degree,26907
"35 to 54 Years, Both Sexes",2010,84834,Elementary: 0 to 4 years,Less than High School,852
"35 to 54 Years, Both Sexes",2010,84834,Elementary: 5 to 8 years,Less than High School,2549
"35 to 54 Years, Both Sexes",2010,84834,High School: 1 to 3 years,Less than High School,5937
"35 to 54 Years, Both Sexes",2010,84834,High School: 4 years,High School,26145
"35 to 54 Years, Both Sexes",2010,84834,College: 1 to 3 years,Some College,22911
"35 to 54 Years, Both Sexes",2010,84834,College: 4 years or more,College Degree,26440
"35 to 54 Years, Both Sexes",2009,85688,Elementary: 0 to 4 years,Less than High School,909
"35 to 54 Years, Both Sexes",2009,85688,Elementary: 5 to 8 years,Less than High School,2716
"35 to 54 Years, Both Sexes",2009,85688,High School: 1 to 3 years,Less than High School,6046
"35 to 54 Years, Both Sexes",2009,85688,High School: 4 years,High School,26121
"35 to 54 Years, Both Sexes",2009,85688,College: 1 to 3 years,Some College,23384
"35 to 54 Years, Both Sexes",2009,85688,College: 4 years or more,College Degree,26513
"35 to 54 Years, Both Sexes",2008,86067,Elementary: 0 to 4 years,Less than High School,905
"35 to 54 Years, Both Sexes",2008,86067,Elementary: 5 to 8 years,Less than High School,2742
"35 to 54 Years, Both Sexes",2008,86067,High School: 1 to 3 years,Less than High School,5882
"35 to 54 Years, Both Sexes",2008,86067,High School: 4 years,High School,26108
"35 to 54 Years, Both Sexes",2008,86067,College: 1 to 3 years,Some College,23504
"35 to 54 Years, Both Sexes",2008,86067,College: 4 years or more,College Degree,26926
"35 to 54 Years, Both Sexes",2007,86224,Elementary: 0 to 4 years,Less than High School,874
"35 to 54 Years, Both Sexes",2007,86224,Elementary: 5 to 8 years,Less than High School,2720
"35 to 54 Years, Both Sexes",2007,86224,High School: 1 to 3 years,Less than High School,6310
"35 to 54 Years, Both Sexes",2007,86224,High School: 4 years,High School,26675
"35 to 54 Years, Both Sexes",2007,86224,College: 1 to 3 years,Some College,22777
"35 to 54 Years, Both Sexes",2007,86224,College: 4 years or more,College Degree,26869
"35 to 54 Years, Both Sexes",2006,85918,Elementary: 0 to 4 years,Less than High School,965
"35 to 54 Years, Both Sexes",2006,85918,Elementary: 5 to 8 years,Less than High School,2769
"35 to 54 Years, Both Sexes",2006,85918,High School: 1 to 3 years,Less than High School,6274
"35 to 54 Years, Both Sexes",2006,85918,High School: 4 years,High School,26636
"35 to 54 Years, Both Sexes",2006,85918,College: 1 to 3 years,Some College,23317
"35 to 54 Years, Both Sexes",2006,85918,College: 4 years or more,College Degree,25958
"35 to 54 Years, Both Sexes",2005,85311,Elementary: 0 to 4 years,Less than High School,954
"35 to 54 Years, Both Sexes",2005,85311,Elementary: 5 to 8 years,Less than High School,2757
"35 to 54 Years, Both Sexes",2005,85311,High School: 1 to 3 years,Less than High School,5892
"35 to 54 Years, Both Sexes",2005,85311,High School: 4 years,High School,27232
"35 to 54 Years, Both Sexes",2005,85311,College: 1 to 3 years,Some College,23129
"35 to 54 Years, Both Sexes",2005,85311,College: 4 years or more,College Degree,25347
"35 to 54 Years, Both Sexes",2004,84642,Elementary: 0 to 4 years,Less than High School,963
"35 to 54 Years, Both Sexes",2004,84642,Elementary: 5 to 8 years,Less than High School,2582
"35 to 54 Years, Both Sexes",2004,84642,High School: 1 to 3 years,Less than High School,5938
"35 to 54 Years, Both Sexes",2004,84642,High School: 4 years,High School,26649
"35 to 54 Years, Both Sexes",2004,84642,College: 1 to 3 years,Some College,23093
"35 to 54 Years, Both Sexes",2004,84642,College: 4 years or more,College Degree,25417
"35 to 54 Years, Both Sexes",2003,84308,Elementary: 0 to 4 years,Less than High School,957
"35 to 54 Years, Both Sexes",2003,84308,Elementary: 5 to 8 years,Less than High School,2620
"35 to 54 Years, Both Sexes",2003,84308,High School: 1 to 3 years,Less than High School,6112
"35 to 54 Years, Both Sexes",2003,84308,High School: 4 years,High School,26346
"35 to 54 Years, Both Sexes",2003,84308,College: 1 to 3 years,Some College,23039
"35 to 54 Years, Both Sexes",2003,84308,College: 4 years or more,College Degree,25234
"35 to 54 Years, Both Sexes",2002,83829,Elementary: 0 to 4 years,Less than High School,941
"35 to 54 Years, Both Sexes",2002,83829,Elementary: 5 to 8 years,Less than High School,2636
"35 to 54 Years, Both Sexes",2002,83829,High School: 1 to 3 years,Less than High School,5874
"35 to 54 Years, Both Sexes",2002,83829,High School: 4 years,High School,26740
"35 to 54 Years, Both Sexes",2002,83829,College: 1 to 3 years,Some College,23148
"35 to 54 Years, Both Sexes",2002,83829,College: 4 years or more,College Degree,24489
"35 to 54 Years, Both Sexes",2001,83286,Elementary: 0 to 4 years,Less than High School,886
"35 to 54 Years, Both Sexes",2001,83286,Elementary: 5 to 8 years,Less than High School,2612
"35 to 54 Years, Both Sexes",2001,83286,High School: 1 to 3 years,Less than High School,5899
"35 to 54 Years, Both Sexes",2001,83286,High School: 4 years,High School,26356
"35 to 54 Years, Both Sexes",2001,83286,College: 1 to 3 years,Some College,23271
"35 to 54 Years, Both Sexes",2001,83286,College: 4 years or more,College Degree,24262
"35 to 54 Years, Both Sexes",2000,81435,Elementary: 0 to 4 years,Less than High School,932
"35 to 54 Years, Both Sexes",2000,81435,Elementary: 5 to 8 years,Less than High School,2521
"35 to 54 Years, Both Sexes",2000,81435,High School: 1 to 3 years,Less than High School,5702
"35 to 54 Years, Both Sexes",2000,81435,High School: 4 years,High School,26481
"35 to 54 Years, Both Sexes",2000,81435,College: 1 to 3 years,Some College,22618
"35 to 54 Years, Both Sexes",2000,81435,College: 4 years or more,College Degree,23183
"35 to 54 Years, Both Sexes",1999,79976,Elementary: 0 to 4 years,Less than High School,872
"35 to 54 Years, Both Sexes",1999,79976,Elementary: 5 to 8 years,Less than High School,2535
"35 to 54 Years, Both Sexes",1999,79976,High School: 1 to 3 years,Less than High School,6052
"35 to 54 Years, Both Sexes",1999,79976,High School: 4 years,High School,26367
"35 to 54 Years, Both Sexes",1999,79976,College: 1 to 3 years,Some College,21561
"35 to 54 Years, Both Sexes",1999,79976,College: 4 years or more,College Degree,22589
"35 to 54 Years, Both Sexes",1998,78520,Elementary: 0 to 4 years,Less than High School,890
"35 to 54 Years, Both Sexes",1998,78520,Elementary: 5 to 8 years,Less than High School,2613
"35 to 54 Years, Both Sexes",1998,78520,High School: 1 to 3 years,Less than High School,6164
"35 to 54 Years, Both Sexes",1998,78520,High School: 4 years,High School,26079
"35 to 54 Years, Both Sexes",1998,78520,College: 1 to 3 years,Some College,21267
"35 to 54 Years, Both Sexes",1998,78520,College: 4 years or more,College Degree,21506
"35 to 54 Years, Both Sexes",1997,76973,Elementary: 0 to 4 years,Less than High School,867
"35 to 54 Years, Both Sexes",1997,76973,Elementary: 5 to 8 years,Less than High School,2686
"35 to 54 Years, Both Sexes",1997,76973,High School: 1 to 3 years,Less than High School,6045
"35 to 54 Years, Both Sexes",1997,76973,High School: 4 years,High School,26054
"35 to 54 Years, Both Sexes",1997,76973,College: 1 to 3 years,Some College,20684
"35 to 54 Years, Both Sexes",1997,76973,College: 4 years or more,College Degree,20635
"35 to 54 Years, Both Sexes",1996,74661,Elementary: 0 to 4 years,Less than High School,968
"35 to 54 Years, Both Sexes",1996,74661,Elementary: 5 to 8 years,Less than High School,2710
"35 to 54 Years, Both Sexes",1996,74661,High School: 1 to 3 years,Less than High School,5803
"35 to 54 Years, Both Sexes",1996,74661,High School: 4 years,High School,24924
"35 to 54 Years, Both Sexes",1996,74661,College: 1 to 3 years,Some College,20105
"35 to 54 Years, Both Sexes",1996,74661,College: 4 years or more,College Degree,20152
"35 to 54 Years, Both Sexes",1995,73028,Elementary: 0 to 4 years,Less than High School,927
"35 to 54 Years, Both Sexes",1995,73028,Elementary: 5 to 8 years,Less than High School,2561
"35 to 54 Years, Both Sexes",1995,73028,High School: 1 to 3 years,Less than High School,5664
"35 to 54 Years, Both Sexes",1995,73028,High School: 4 years,High School,24070
"35 to 54 Years, Both Sexes",1995,73028,College: 1 to 3 years,Some College,19926
"35 to 54 Years, Both Sexes",1995,73028,College: 4 years or more,College Degree,19878
"35 to 54 Years, Both Sexes",1994,71049,Elementary: 0 to 4 years,Less than High School,987
"35 to 54 Years, Both Sexes",1994,71049,Elementary: 5 to 8 years,Less than High School,2680
"35 to 54 Years, Both Sexes",1994,71049,High School: 1 to 3 years,Less than High School,5415
"35 to 54 Years, Both Sexes",1994,71049,High School: 4 years,High School,23804
"35 to 54 Years, Both Sexes",1994,71049,College: 1 to 3 years,Some College,19210
"35 to 54 Years, Both Sexes",1994,71049,College: 4 years or more,College Degree,18956
"35 to 54 Years, Both Sexes",1993,68845,Elementary: 0 to 4 years,Less than High School,942
"35 to 54 Years, Both Sexes",1993,68845,Elementary: 5 to 8 years,Less than High School,2486
"35 to 54 Years, Both Sexes",1993,68845,High School: 1 to 3 years,Less than High School,5538
"35 to 54 Years, Both Sexes",1993,68845,High School: 4 years,High School,23927
"35 to 54 Years, Both Sexes",1993,68845,College: 1 to 3 years,Some College,17984
"35 to 54 Years, Both Sexes",1993,68845,College: 4 years or more,College Degree,17970
"35 to 54 Years, Both Sexes",1992,66594,Elementary: 0 to 4 years,Less than High School,899
"35 to 54 Years, Both Sexes",1992,66594,Elementary: 5 to 8 years,Less than High School,2608
"35 to 54 Years, Both Sexes",1992,66594,High School: 1 to 3 years,Less than High School,5845
"35 to 54 Years, Both Sexes",1992,66594,High School: 4 years,High School,23442
"35 to 54 Years, Both Sexes",1992,66594,College: 1 to 3 years,Some College,16658
"35 to 54 Years, Both Sexes",1992,66594,College: 4 years or more,College Degree,17144
"35 to 54 Years, Both Sexes",1991,64351,Elementary: 0 to 4 years,Less than High School,995
"35 to 54 Years, Both Sexes",1991,64351,Elementary: 5 to 8 years,Less than High School,3057
"35 to 54 Years, Both Sexes",1991,64351,High School: 1 to 3 years,Less than High School,5522
"35 to 54 Years, Both Sexes",1991,64351,High School: 4 years,High School,24815
"35 to 54 Years, Both Sexes",1991,64351,College: 1 to 3 years,Some College,13348
"35 to 54 Years, Both Sexes",1991,64351,College: 4 years or more,College Degree,16614
"35 to 54 Years, Both Sexes",1990,62499,Elementary: 0 to 4 years,Less than High School,980
"35 to 54 Years, Both Sexes",1990,62499,Elementary: 5 to 8 years,Less than High School,3104
"35 to 54 Years, Both Sexes",1990,62499,High School: 1 to 3 years,Less than High School,5529
"35 to 54 Years, Both Sexes",1990,62499,High School: 4 years,High School,24434
"35 to 54 Years, Both Sexes",1990,62499,College: 1 to 3 years,Some College,12553
"35 to 54 Years, Both Sexes",1990,62499,College: 4 years or more,College Degree,15899
"35 to 54 Years, Both Sexes",1989,60494,Elementary: 0 to 4 years,Less than High School,999
"35 to 54 Years, Both Sexes",1989,60494,Elementary: 5 to 8 years,Less than High School,3315
"35 to 54 Years, Both Sexes",1989,60494,High School: 1 to 3 years,Less than High School,5800
"35 to 54 Years, Both Sexes",1989,60494,High School: 4 years,High School,23334
"35 to 54 Years, Both Sexes",1989,60494,College: 1 to 3 years,Some College,11627
"35 to 54 Years, Both Sexes",1989,60494,College: 4 years or more,College Degree,15417
"35 to 54 Years, Both Sexes",1988,58555,Elementary: 0 to 4 years,Less than High School,958
"35 to 54 Years, Both Sexes",1988,58555,Elementary: 5 to 8 years,Less than High School,3272
"35 to 54 Years, Both Sexes",1988,58555,High School: 1 to 3 years,Less than High School,5889
"35 to 54 Years, Both Sexes",1988,58555,High School: 4 years,High School,23049
"35 to 54 Years, Both Sexes",1988,58555,College: 1 to 3 years,Some College,11017
"35 to 54 Years, Both Sexes",1988,58555,College: 4 years or more,College Degree,14369
"35 to 54 Years, Both Sexes",1987,56650,Elementary: 0 to 4 years,Less than High School,842
"35 to 54 Years, Both Sexes",1987,56650,Elementary: 5 to 8 years,Less than High School,3398
"35 to 54 Years, Both Sexes",1987,56650,High School: 1 to 3 years,Less than High School,5656
"35 to 54 Years, Both Sexes",1987,56650,High School: 4 years,High School,22820
"35 to 54 Years, Both Sexes",1987,56650,College: 1 to 3 years,Some College,10523
"35 to 54 Years, Both Sexes",1987,56650,College: 4 years or more,College Degree,13409
"35 to 54 Years, Both Sexes",1986,55170,Elementary: 0 to 4 years,Less than High School,896
"35 to 54 Years, Both Sexes",1986,55170,Elementary: 5 to 8 years,Less than High School,3614
"35 to 54 Years, Both Sexes",1986,55170,High School: 1 to 3 years,Less than High School,5769
"35 to 54 Years, Both Sexes",1986,55170,High School: 4 years,High School,22151
"35 to 54 Years, Both Sexes",1986,55170,College: 1 to 3 years,Some College,10110
"35 to 54 Years, Both Sexes",1986,55170,College: 4 years or more,College Degree,12629
"35 to 54 Years, Both Sexes",1985,53697,Elementary: 0 to 4 years,Less than High School,899
"35 to 54 Years, Both Sexes",1985,53697,Elementary: 5 to 8 years,Less than High School,3639
"35 to 54 Years, Both Sexes",1985,53697,High School: 1 to 3 years,Less than High School,5978
"35 to 54 Years, Both Sexes",1985,53697,High School: 4 years,High School,21600
"35 to 54 Years, Both Sexes",1985,53697,College: 1 to 3 years,Some College,9217
"35 to 54 Years, Both Sexes",1985,53697,College: 4 years or more,College Degree,12363
"35 to 54 Years, Both Sexes",1984,52297,Elementary: 0 to 4 years,Less than High School,893
"35 to 54 Years, Both Sexes",1984,52297,Elementary: 5 to 8 years,Less than High School,3754
"35 to 54 Years, Both Sexes",1984,52297,High School: 1 to 3 years,Less than High School,6158
"35 to 54 Years, Both Sexes",1984,52297,High School: 4 years,High School,21290
"35 to 54 Years, Both Sexes",1984,52297,College: 1 to 3 years,Some College,8702
"35 to 54 Years, Both Sexes",1984,52297,College: 4 years or more,College Degree,11500
"35 to 54 Years, Both Sexes",1983,50956,Elementary: 0 to 4 years,Less than High School,973
"35 to 54 Years, Both Sexes",1983,50956,Elementary: 5 to 8 years,Less than High School,4044
"35 to 54 Years, Both Sexes",1983,50956,High School: 1 to 3 years,Less than High School,6313
"35 to 54 Years, Both Sexes",1983,50956,High School: 4 years,High School,20788
"35 to 54 Years, Both Sexes",1983,50956,College: 1 to 3 years,Some College,8045
"35 to 54 Years, Both Sexes",1983,50956,College: 4 years or more,College Degree,10795
"35 to 54 Years, Both Sexes",1982,49722,Elementary: 0 to 4 years,Less than High School,963
"35 to 54 Years, Both Sexes",1982,49722,Elementary: 5 to 8 years,Less than High School,4320
"35 to 54 Years, Both Sexes",1982,49722,High School: 1 to 3 years,Less than High School,6657
"35 to 54 Years, Both Sexes",1982,49722,High School: 4 years,High School,20445
"35 to 54 Years, Both Sexes",1982,49722,College: 1 to 3 years,Some College,7580
"35 to 54 Years, Both Sexes",1982,49722,College: 4 years or more,College Degree,9756
"35 to 54 Years, Both Sexes",1981,48680,Elementary: 0 to 4 years,Less than High School,1038
"35 to 54 Years, Both Sexes",1981,48680,Elementary: 5 to 8 years,Less than High School,4531
"35 to 54 Years, Both Sexes",1981,48680,High School: 1 to 3 years,Less than High School,6773
"35 to 54 Years, Both Sexes",1981,48680,High School: 4 years,High School,20032
"35 to 54 Years, Both Sexes",1981,48680,College: 1 to 3 years,Some College,7115
"35 to 54 Years, Both Sexes",1981,48680,College: 4 years or more,College Degree,9181
"35 to 54 Years, Both Sexes",1980,48124,Elementary: 0 to 4 years,Less than High School,1034
"35 to 54 Years, Both Sexes",1980,48124,Elementary: 5 to 8 years,Less than High School,4676
"35 to 54 Years, Both Sexes",1980,48124,High School: 1 to 3 years,Less than High School,7063
"35 to 54 Years, Both Sexes",1980,48124,High School: 4 years,High School,19584
"35 to 54 Years, Both Sexes",1980,48124,College: 1 to 3 years,Some College,6943
"35 to 54 Years, Both Sexes",1980,48124,College: 4 years or more,College Degree,8822
"35 to 54 Years, Both Sexes",1979,47437,Elementary: 0 to 4 years,Less than High School,1030
"35 to 54 Years, Both Sexes",1979,47437,Elementary: 5 to 8 years,Less than High School,4895
"35 to 54 Years, Both Sexes",1979,47437,High School: 1 to 3 years,Less than High School,7132
"35 to 54 Years, Both Sexes",1979,47437,High School: 4 years,High School,19488
"35 to 54 Years, Both Sexes",1979,47437,College: 1 to 3 years,Some College,6655
"35 to 54 Years, Both Sexes",1979,47437,College: 4 years or more,College Degree,8237
"35 to 54 Years, Both Sexes",1978,46921,Elementary: 0 to 4 years,Less than High School,1107
"35 to 54 Years, Both Sexes",1978,46921,Elementary: 5 to 8 years,Less than High School,5262
"35 to 54 Years, Both Sexes",1978,46921,High School: 1 to 3 years,Less than High School,7590
"35 to 54 Years, Both Sexes",1978,46921,High School: 4 years,High School,19012
"35 to 54 Years, Both Sexes",1978,46921,College: 1 to 3 years,Some College,6286
"35 to 54 Years, Both Sexes",1978,46921,College: 4 years or more,College Degree,7667
"35 to 54 Years, Both Sexes",1977,46409,Elementary: 0 to 4 years,Less than High School,1192
"35 to 54 Years, Both Sexes",1977,46409,Elementary: 5 to 8 years,Less than High School,5445
"35 to 54 Years, Both Sexes",1977,46409,High School: 1 to 3 years,Less than High School,7781
"35 to 54 Years, Both Sexes",1977,46409,High School: 4 years,High School,18781
"35 to 54 Years, Both Sexes",1977,46409,College: 1 to 3 years,Some College,6013
"35 to 54 Years, Both Sexes",1977,46409,College: 4 years or more,College Degree,7196
"35 to 54 Years, Both Sexes",1976,46271,Elementary: 0 to 4 years,Less than High School,1245
"35 to 54 Years, Both Sexes",1976,46271,Elementary: 5 to 8 years,Less than High School,5729
"35 to 54 Years, Both Sexes",1976,46271,High School: 1 to 3 years,Less than High School,7671
"35 to 54 Years, Both Sexes",1976,46271,High School: 4 years,High School,18893
"35 to 54 Years, Both Sexes",1976,46271,College: 1 to 3 years,Some College,5957
"35 to 54 Years, Both Sexes",1976,46271,College: 4 years or more,College Degree,6776
"35 to 54 Years, Both Sexes",1975,46193,Elementary: 0 to 4 years,Less than High School,1296
"35 to 54 Years, Both Sexes",1975,46193,Elementary: 5 to 8 years,Less than High School,5942
"35 to 54 Years, Both Sexes",1975,46193,High School: 1 to 3 years,Less than High School,7765
"35 to 54 Years, Both Sexes",1975,46193,High School: 4 years,High School,19010
"35 to 54 Years, Both Sexes",1975,46193,College: 1 to 3 years,Some College,5673
"35 to 54 Years, Both Sexes",1975,46193,College: 4 years or more,College Degree,6506
"35 to 54 Years, Both Sexes",1974,46217,Elementary: 0 to 4 years,Less than High School,1293
"35 to 54 Years, Both Sexes",1974,46217,Elementary: 5 to 8 years,Less than High School,6244
"35 to 54 Years, Both Sexes",1974,46217,High School: 1 to 3 years,Less than High School,7896
"35 to 54 Years, Both Sexes",1974,46217,High School: 4 years,High School,19038
"35 to 54 Years, Both Sexes",1974,46217,College: 1 to 3 years,Some College,5375
"35 to 54 Years, Both Sexes",1974,46217,College: 4 years or more,College Degree,6372
"35 to 54 Years, Both Sexes",1973,45910,Elementary: 0 to 4 years,Less than High School,1344
"35 to 54 Years, Both Sexes",1973,45910,Elementary: 5 to 8 years,Less than High School,6519
"35 to 54 Years, Both Sexes",1973,45910,High School: 1 to 3 years,Less than High School,8001
"35 to 54 Years, Both Sexes",1973,45910,High School: 4 years,High School,18651
"35 to 54 Years, Both Sexes",1973,45910,College: 1 to 3 years,Some College,5318
"35 to 54 Years, Both Sexes",1973,45910,College: 4 years or more,College Degree,6076
"35 to 54 Years, Both Sexes",1972,45956,Elementary: 0 to 4 years,Less than High School,1367
"35 to 54 Years, Both Sexes",1972,45956,Elementary: 5 to 8 years,Less than High School,7004
"35 to 54 Years, Both Sexes",1972,45956,High School: 1 to 3 years,Less than High School,8521
"35 to 54 Years, Both Sexes",1972,45956,High School: 4 years,High School,18400
"35 to 54 Years, Both Sexes",1972,45956,College: 1 to 3 years,Some College,5074
"35 to 54 Years, Both Sexes",1972,45956,College: 4 years or more,College Degree,5589
"35 to 54 Years, Both Sexes",1971,46294,Elementary: 0 to 4 years,Less than High School,1439
"35 to 54 Years, Both Sexes",1971,46294,Elementary: 5 to 8 years,Less than High School,7588
"35 to 54 Years, Both Sexes",1971,46294,High School: 1 to 3 years,Less than High School,8393
"35 to 54 Years, Both Sexes",1971,46294,High School: 4 years,High School,18334
"35 to 54 Years, Both Sexes",1971,46294,College: 1 to 3 years,Some College,5082
"35 to 54 Years, Both Sexes",1971,46294,College: 4 years or more,College Degree,5460
"35 to 54 Years, Both Sexes",1970,46319,Elementary: 0 to 4 years,Less than High School,1461
"35 to 54 Years, Both Sexes",1970,46319,Elementary: 5 to 8 years,Less than High School,7935
"35 to 54 Years, Both Sexes",1970,46319,High School: 1 to 3 years,Less than High School,8555
"35 to 54 Years, Both Sexes",1970,46319,High School: 4 years,High School,18200
"35 to 54 Years, Both Sexes",1970,46319,College: 1 to 3 years,Some College,4875
"35 to 54 Years, Both Sexes",1970,46319,College: 4 years or more,College Degree,5294
"35 to 54 Years, Both Sexes",1969,46255,Elementary: 0 to 4 years,Less than High School,1644
"35 to 54 Years, Both Sexes",1969,46255,Elementary: 5 to 8 years,Less than High School,8313
"35 to 54 Years, Both Sexes",1969,46255,High School: 1 to 3 years,Less than High School,8586
"35 to 54 Years, Both Sexes",1969,46255,High School: 4 years,High School,17773
"35 to 54 Years, Both Sexes",1969,46255,College: 1 to 3 years,Some College,4749
"35 to 54 Years, Both Sexes",1969,46255,College: 4 years or more,College Degree,5190
"35 to 54 Years, Both Sexes",1968,46396,Elementary: 0 to 4 years,Less than High School,1654
"35 to 54 Years, Both Sexes",1968,46396,Elementary: 5 to 8 years,Less than High School,8698
"35 to 54 Years, Both Sexes",1968,46396,High School: 1 to 3 years,Less than High School,8838
"35 to 54 Years, Both Sexes",1968,46396,High School: 4 years,High School,17362
"35 to 54 Years, Both Sexes",1968,46396,College: 1 to 3 years,Some College,4642
"35 to 54 Years, Both Sexes",1968,46396,College: 4 years or more,College Degree,5200
"35 to 54 Years, Both Sexes",1967,46321,Elementary: 0 to 4 years,Less than High School,1771
"35 to 54 Years, Both Sexes",1967,46321,Elementary: 5 to 8 years,Less than High School,9036
"35 to 54 Years, Both Sexes",1967,46321,High School: 1 to 3 years,Less than High School,9138
"35 to 54 Years, Both Sexes",1967,46321,High School: 4 years,High School,16906
"35 to 54 Years, Both Sexes",1967,46321,College: 1 to 3 years,Some College,4525
"35 to 54 Years, Both Sexes",1967,46321,College: 4 years or more,College Degree,4947
"35 to 54 Years, Both Sexes",1966,46313,Elementary: 0 to 4 years,Less than High School,1837
"35 to 54 Years, Both Sexes",1966,46313,Elementary: 5 to 8 years,Less than High School,9528
"35 to 54 Years, Both Sexes",1966,46313,High School: 1 to 3 years,Less than High School,9309
"35 to 54 Years, Both Sexes",1966,46313,High School: 4 years,High School,16605
"35 to 54 Years, Both Sexes",1966,46313,College: 1 to 3 years,Some College,4230
"35 to 54 Years, Both Sexes",1966,46313,College: 4 years or more,College Degree,4805
"35 to 54 Years, Both Sexes",1965,46296,Elementary: 0 to 4 years,Less than High School,1827
"35 to 54 Years, Both Sexes",1965,46296,Elementary: 5 to 8 years,Less than High School,9812
"35 to 54 Years, Both Sexes",1965,46296,High School: 1 to 3 years,Less than High School,9266
"35 to 54 Years, Both Sexes",1965,46296,High School: 4 years,High School,16359
"35 to 54 Years, Both Sexes",1965,46296,College: 1 to 3 years,Some College,4384
"35 to 54 Years, Both Sexes",1965,46296,College: 4 years or more,College Degree,4647
"35 to 54 Years, Both Sexes",1964,46089,Elementary: 0 to 4 years,Less than High School,1905
"35 to 54 Years, Both Sexes",1964,46089,Elementary: 5 to 8 years,Less than High School,10259
"35 to 54 Years, Both Sexes",1964,46089,High School: 1 to 3 years,Less than High School,9289
"35 to 54 Years, Both Sexes",1964,46089,High School: 4 years,High School,15760
"35 to 54 Years, Both Sexes",1964,46089,College: 1 to 3 years,Some College,4397
"35 to 54 Years, Both Sexes",1964,46089,College: 4 years or more,College Degree,4482
"35 to 54 Years, Both Sexes",1962,45287,Elementary: 0 to 4 years,Less than High School,2181
"35 to 54 Years, Both Sexes",1962,45287,Elementary: 5 to 8 years,Less than High School,10795
"35 to 54 Years, Both Sexes",1962,45287,High School: 1 to 3 years,Less than High School,8938
"35 to 54 Years, Both Sexes",1962,45287,High School: 4 years,High School,14668
"35 to 54 Years, Both Sexes",1962,45287,College: 1 to 3 years,Some College,4452
